,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
784,2015-08-01,5904.754319734844,4232.410295857295,6251.272128728226,5904.754319734844,5904.754319734844,-673.7349827888664,-673.7349827888664,-673.7349827888664,-719.174286025024,-719.174286025024,-719.174286025024,45.439303236157684,45.439303236157684,45.439303236157684,0.0,0.0,0.0,5231.019336945978
785,2015-08-02,5905.498640810681,4676.004448773795,6754.884588648643,5905.498640810681,5905.498640810681,-172.38568701330075,-172.38568701330075,-172.38568701330075,-197.42391577804264,-197.42391577804264,-197.42391577804264,25.03822876474189,25.03822876474189,25.03822876474189,0.0,0.0,0.0,5733.11295379738
786,2015-08-03,5906.242961886517,5929.878493086395,7952.810909754091,5906.242961886517,5906.242961886517,1015.9174861308155,1015.9174861308155,1015.9174861308155,1013.0406335698964,1013.0406335698964,1013.0406335698964,2.876852560919101,2.876852560919101,2.876852560919101,0.0,0.0,0.0,6922.160448017333
787,2015-08-04,5906.987282962354,4972.364483567493,7171.9533168700345,5906.987282962354,5906.987282962354,202.9899159323991,202.9899159323991,202.9899159323991,223.673780740026,223.673780740026,223.673780740026,-20.683864807626865,-20.683864807626865,-20.683864807626865,0.0,0.0,0.0,6109.977198894753
788,2015-08-05,5907.731604038191,4635.978540836237,6728.552480725071,5907.731604038191,5907.731604038191,-248.33222352265886,-248.33222352265886,-248.33222352265886,-203.0460670169387,-203.0460670169387,-203.0460670169387,-45.28615650572016,-45.28615650572016,-45.28615650572016,0.0,0.0,0.0,5659.399380515532
789,2015-08-06,5908.4759251140285,4731.609674875645,6780.594603774556,5908.4759251140285,5908.4759251140285,-253.5972205089019,-253.5972205089019,-253.5972205089019,-183.0129705483533,-183.0129705483533,-183.0129705483533,-70.58424996054858,-70.58424996054858,-70.58424996054858,0.0,0.0,0.0,5654.878704605127
790,2015-08-07,5909.220246189865,4858.92844319459,7056.520867607906,5909.220246189865,5909.220246189865,-30.309419967221295,-30.309419967221295,-30.309419967221295,65.9428250599196,65.9428250599196,65.9428250599196,-96.25224502714089,-96.25224502714089,-96.25224502714089,0.0,0.0,0.0,5878.910826222644
791,2015-08-08,5909.964567265702,4003.8060106444373,6166.032949818152,5909.964567265702,5909.96456727462,-841.1651478833066,-841.1651478833066,-841.1651478833066,-719.1742860249269,-719.1742860249269,-719.1742860249269,-121.99086185837977,-121.99086185837977,-121.99086185837977,0.0,0.0,0.0,5068.799419382395
792,2015-08-09,5910.708888341539,4516.8876050168765,6599.8124051388695,5910.708885360567,5910.708893329094,-344.9568065194107,-344.9568065194107,-344.9568065194107,-197.42391577743027,-197.42391577743027,-197.42391577743027,-147.53289074198042,-147.53289074198042,-147.53289074198042,0.0,0.0,0.0,5565.752081822128
793,2015-08-10,5911.4532094173765,5710.348003332618,7784.370031459329,5911.453198752464,5911.453220743254,840.3934126523706,840.3934126523706,840.3934126523706,1013.0406335696235,1013.0406335696235,1013.0406335696235,-172.64722091725298,-172.64722091725298,-172.64722091725298,0.0,0.0,0.0,6751.846622069747
794,2015-08-11,5912.197530493213,4902.995676812871,6935.490659987799,5912.197511459197,5912.197551928032,26.53240746223438,26.53240746223438,26.53240746223438,223.67378074178225,223.67378074178225,223.67378074178225,-197.14137327954788,-197.14137327954788,-197.14137327954788,0.0,0.0,0.0,5938.729937955447
795,2015-08-12,5912.94185156905,4470.338401296714,6498.713519566122,5912.941818509945,5912.94188781249,-423.90857847440526,-423.90857847440526,-423.90857847440526,-203.04606701719752,-203.04606701719752,-203.04606701719752,-220.8625114572078,-220.8625114572078,-220.8625114572078,0.0,0.0,0.0,5489.033273094645
796,2015-08-13,5913.686172644887,4508.986330753124,6527.759458584461,5913.6861299281645,5913.686223508936,-426.7099260222622,-426.7099260222622,-426.7099260222622,-183.01297054953957,-183.01297054953957,-183.01297054953957,-243.69695547272264,-243.69695547272264,-243.69695547272264,0.0,0.0,0.0,5486.976246622625
797,2015-08-14,5914.4304937207235,4725.677674752475,6735.14138621092,5914.430432624843,5914.430559448101,-199.62544550319726,-199.62544550319726,-199.62544550319726,65.9428250581159,65.9428250581159,65.9428250581159,-265.5682705613131,-265.5682705613131,-265.5682705613131,0.0,0.0,0.0,5714.805048217526
798,2015-08-15,5915.174814796562,3873.979199325768,5954.264913400011,5915.174736196845,5915.174894950983,-1005.6083352659327,-1005.6083352659327,-1005.6083352659327,-719.1742860248299,-719.1742860248299,-719.1742860248299,-286.43404924110274,-286.43404924110274,-286.43404924110274,0.0,0.0,0.0,4909.566479530629
799,2015-08-16,5915.919135872398,4280.264499482161,6483.141830943739,5915.919043845932,5915.919231861938,-503.70546181394104,-503.70546181394104,-503.70546181394104,-197.42391577929743,-197.42391577929743,-197.42391577929743,-306.2815460346436,-306.2815460346436,-306.2815460346436,0.0,0.0,0.0,5412.213674058457
800,2015-08-17,5916.663456948235,5580.381579229288,7683.119654376153,5916.6633415623055,5916.663574867417,687.9182734932546,687.9182734932546,687.9182734932546,1013.0406335701236,1013.0406335701236,1013.0406335701236,-325.1223600768691,-325.1223600768691,-325.1223600768691,0.0,0.0,0.0,6604.5817304414895
801,2015-08-18,5917.407778024071,4747.006399990858,6812.570329425206,5917.407632223082,5917.407914021109,-119.31260939224515,-119.31260939224515,-119.31260939224515,223.67378074041,223.67378074041,223.67378074041,-342.9863901326551,-342.9863901326551,-342.9863901326551,0.0,0.0,0.0,5798.095168631826
802,2015-08-19,5918.152099099909,4367.835276028018,6413.906941260104,5918.151928846699,5918.1522487145,-562.9613754307765,-562.9613754307765,-562.9613754307765,-203.0460670172262,-203.0460670172262,-203.0460670172262,-359.91530841355035,-359.91530841355035,-359.91530841355035,0.0,0.0,0.0,5355.190723669132
